TOLIMA,ESPECIALIZACION,1.590,804,892,991,980
TOLIMA,MAESTRIA,56,31,153,114,118
TOLIMA,DOCTORADO,0,1,1,1,1
ANTIOQUIA,FORMACION TECNICA PROFESIONAL,1.726,1.296,1.764,1.466,553
ANTIOQUIA,TECNOLOGICA,5.683,13.873,16.335,19.400,17.892
ANTIOQUIA,UNIVERSITARIA,15.594,17.745,20.150,19.159,19.995
ANTIOQUIA,ESPECIALIZACION,5.408,6.268,7.535,7.259,6.825
ANTIOQUIA,MAESTRIA,821,1.090,1.508,1.422,1.814
ANTIOQUIA,DOCTORADO,57,92,103,96,87
CALDAS,FORMACION TECNICA PROFESIONAL,65,176,840,785,542
CALDAS,TECNOLOGICA,509,2.049,2.020,2.192,2.825
CALDAS,UNIVERSITARIA,3.056,2.549,3.687,3.537,3.214
CALDAS,ESPECIALIZACION,2.303,1.662,1.874,1.235,1.140
CALDAS,MAESTRIA,403,317,637,925,637
CALDAS,DOCTORADO,9,16,22,24,28
QUINDIO,FORMACION TECNICA PROFESIONAL,252,427,343,302,322
QUINDIO,TECNOLOGICA,413,1.317,1.403,1.403,1.485
QUINDIO,UNIVERSITARIA,1.839,2.233,1.954,2.618,2.550
QUINDIO,ESPECIALIZACION,158,174,265,382,385
QUINDIO,MAESTRIA,8,13,23,39,59
QUINDIO,DOCTORADO,0,0,0,2,2
RISARALDA,FORMACION TECNICA PROFESIONAL,133,153,157,180,237
RISARALDA,TECNOLOGICA,483,1.562,1.987,1.996,1.744
RISARALDA,UNIVERSITARIA,2.058,2.240,3.143,3.203,3.809
RISARALDA,ESPECIALIZACION,603,552,798,878,788
RISARALDA,MAESTRIA,142,148,245,207,246
RISARALDA,DOCTORADO,0,1,8,5,10
ARAUCA,FORMACION TECNICA PROFESIONAL,45,130,16,15,3
ARAUCA,TECNOLOGICA,0,142,173,219,279
ARAUCA,UNIVERSITARIA,65,71,159,170,281
ARAUCA,ESPECIALIZACION,0,0,0,1,40
CASANARE,FORMACION TECNICA PROFESIONAL,0,10,3,0,30
CASANARE,TECNOLOGICA,29,381,329,461,489
CASANARE,UNIVERSITARIA,343,248,333,394,588
CASANARE,ESPECIALIZACION,2,2,24,60,62
GUAINIA,FORMACION TECNICA PROFESIONAL,0,3,2,6,0
GUAINIA,TECNOLOGICA,0,16,110,81,67
GUAINIA,UNIVERSITARIA,5,0,15,9,5
GUAINIA,ESPECIALIZACION,0,0,0,2,2
GUAVIARE,FORMACION TECNICA PROFESIONAL,0,2,3,0,0
GUAVIARE,TECNOLOGICA,10,88,121,242,147
GUAVIARE,UNIVERSITARIA,81,6,17,25,12
GUAVIARE,ESPECIALIZACION,0,2,3,17,22
META,FORMACION TECNICA PROFESIONAL,733,69,714,269,308
META,TECNOLOGICA,202,1.127,992,1.130,1.146
META,UNIVERSITARIA,1.659,1.691,2.114,2.516,2.531
META,ESPECIALIZACION,399,599,661,626,610
META,MAESTRIA,7,7,2,3,15
VAUPES,FORMACION TECNICA PROFESIONAL,0,1,0,0,0
VAUPES,TECNOLOGICA,0,56,15,46,47
VAUPES,UNIVERSITARIA,5,0,0,0,0
VAUPES,ESPECIALIZACION,0,0,0,7,0
VICHADA,FORMACION TECNICA PROFESIONAL,0,21,2,4,0
VICHADA,TECNOLOGICA,1,37,64,110,130
VICHADA,UNIVERSITARIA,28,7,11,17,10
VICHADA,ESPECIALIZACION,0,2,1,2,15
CAUCA,FORMACION TECNICA PROFESIONAL,1,26,42,22,48
CAUCA,TECNOLOGICA,223,1.667,2.513,2.077,2.307
CAUCA,UNIVERSITARIA,2.020,2.227,2.348,2.398,2.460
CAUCA,ESPECIALIZACION,407,410,389,571,493
CAUCA,MAESTRIA,15,39,26,30,36
CAUCA,DOCTORADO,1,0,4,7,4
CHOCO,FORMACION TECNICA PROFESIONAL,1,0,148,133,0
CHOCO,TECNOLOGICA,4,211,377,267,247
CHOCO,UNIVERSITARIA,1.123,1.675,1.585,1.214,1.608
CHOCO,ESPECIALIZACION,243,54,240,188,117
CHOCO,MAESTRIA,4,5,6,10,14
NARIÑO,FORMACION TECNICA PROFESIONAL,71,88,75,50,88
NARIÑO,TECNOLOGICA,485,977,1.063,1.625,1.792
NARIÑO,UNIVERSITARIA,2.471,2.463,2.911,3.438,3.211
NARIÑO,ESPECIALIZACION,493,570,591,606,835
NARIÑO,MAESTRIA,85,41,86,99,181
NARIÑO,DOCTORADO,3,0,2,0,7
VALLE DEL CAUCA,FORMACION TECNICA PROFESIONAL,653,1.135,2.021,1.816,1.638
VALLE DEL CAUCA,TECNOLOGICA,2.942,6.893,8.229,8.826,8.964
VALLE DEL CAUCA,UNIVERSITARIA,9.465,10.609,11.300,12.245,11.424
VALLE DEL CAUCA,ESPECIALIZACION,1.967,2.922,2.883,3.301,2.597
VALLE DEL CAUCA,MAESTRIA,552,833,1.102,1.264,1.235
VALLE DEL CAUCA,DOCTORADO,23,38,36,44,59
