DEPARTAMENTO,ANO,TECNICA PROFESIONAL,TECNOLOGICA,UNIVERSITARIA,ESPECIALIZACION,MAESTRIA,DOCTORADO
PUTUMAYO,2015,219,4236,1229,50,3,0
TOLIMA,2015,3929,15067,28685,779,236,6
ANTIOQUIA,2010,7400,94171,132554,7821,3322,611
CALDAS,2010,809,9351,22650,1241,1480,158
QUINDIO,2010,2628,6849,15760,191,22,5
RISARALDA,2010,1444,11887,22159,870,870,53
ANTIOQUIA,2011,3327,107739,143741,9065,4176,696
CALDAS,2011,259,9841,24045,1154,2050,177
QUINDIO,2011,1171,6389,17634,408,129,4
RISARALDA,2011,844,10637,25701,1242,960,46
ANTIOQUIA,2012,2622,102893,155416,8550,4185,787
CALDAS,2012,532,10500,24870,1080,2117,124
QUINDIO,2012,1471,7516,19152,387,120,0
RISARALDA,2012,911,10407,26818,1294,954,22
ANTIOQUIA,2013,4269,111224,164092,9051,4862,967
CALDAS,2013,918,12265,25395,1055,2601,154
QUINDIO,2013,1242,7592,20394,386,105,15
RISARALDA,2013,1325,11723,28865,1482,1012,43
ANTIOQUIA,2014,3910,110533,175701,8874,5520,1147
CALDAS,2014,1630,12089,27020,1276,2761,266
QUINDIO,2014,1330,8524,17171,529,246,11
RISARALDA,2014,1508,13267,31893,1588,1112,61
ANTIOQUIA,2015,4355,110782,182990,9497,6472,1315
CALDAS,2015,2298,10999,28430,1575,2915,374
QUINDIO,2015,1455,9157,18020,799,273,16
RISARALDA,2015,1792,12966,31808,1970,1378,67
ARAUCA,2010,535,1045,1430,58,0,0
CASANARE,2010,55,2298,5767,9,0,0
GUAINIA,2010,4,324,192,1,0,0
GUAVIARE,2010,113,930,403,18,0,0
META,2010,365,4540,15965,348,25,0
VAUPES,2010,0,168,26,0,0,0
VICHADA,2010,58,484,168,3,0,0
ARAUCA,2011,93,1211,2311,38,0,0
CASANARE,2011,64,2531,6631,50,0,0
GUAINIA,2011,4,360,173,24,0,0
GUAVIARE,2011,0,940,419,8,0,0
META,2011,337,5440,18760,901,44,0
VAUPES,2011,0,211,19,0,0,0
VICHADA,2011,15,451,125,34,0,0
ARAUCA,2012,11,1532,2466,0,0,0
CASANARE,2012,195,2888,6915,27,4,0
GUAINIA,2012,0,345,190,7,0,0
GUAVIARE,2012,0,1330,397,32,0,0
META,2012,416,5506,20322,730,63,0
VAUPES,2012,0,266,27,0,0,0
VICHADA,2012,20,700,127,19,0,0
ARAUCA,2013,7,1148,2239,85,0,0
CASANARE,2013,167,2169,6386,91,27,0
GUAINIA,2013,2,221,204,13,3,0
GUAVIARE,2013,0,1518,502,21,0,0
META,2013,762,5387,23023,844,90,0
VAUPES,2013,0,344,15,0,0,0
VICHADA,2013,21,581,154,11,0,0
ARAUCA,2014,0,814,2150,37,0,0
CASANARE,2014,237,2160,6874,166,37,0
GUAINIA,2014,55,257,184,3,3,0
GUAVIARE,2014,0,1398,387,39,0,0
META,2014,1410,4956,23163,560,173,0
VAUPES,2014,0,129,14,0,0,0
VICHADA,2014,17,479,134,8,0,0
ARAUCA,2015,1,898,1952,19,0,0
CASANARE,2015,352,1868,7232,241,54,0
GUAINIA,2015,41,343,168,8,2,0
GUAVIARE,2015,0,1732,445,12,0,0
META,2015,1149,6106,23978,778,177,0
VAUPES,2015,0,192,1,35,0,0
VICHADA,2015,12,579,114,29,0,0
CAUCA,2010,1587,12375,20176,533,119,41
CHOCO,2010,20,1756,12641,38,58,0
NARINO,2010,1067,7038,19500,403,199,3
VALLE DEL CAUCA,2010,6591,38179,83276,2786,2928,281
CAUCA,2011,438,12027,22285,793,208,80
CHOCO,2011,0,1248,12213,219,34,0
NARINO,2011,102,7426,25247,1285,298,10
VALLE DEL CAUCA,2011,6723,43772,89649,3339,3744,348
CAUCA,2012,196,10298,21210,404,34,0
CHOCO,2012,10,1454,11720,349,12,0
NARINO,2012,724,7450,26288,692,436,3
VALLE DEL CAUCA,2012,6428,42196,90851,4042,3988,359
CAUCA,2013,65,11470,24982,705,301,79
CHOCO,2013,151,1234,11548,114,56,0
NARINO,2013,513,7126,28128,799,435,34
VALLE DEL CAUCA,2013,7843,48327,94064,3584,4189,419
CAUCA,2014,157,11494,27393,765,432,88
CHOCO,2014,162,1078,11740,153,89,0
NARINO,2014,1198,6756,29511,928,635,39
VALLE DEL CAUCA,2014,7971,50479,98969,3902,4142,461
CAUCA,2015,452,12461,29095,777,588,97
CHOCO,2015,2,867,12059,237,162,0
NARINO,2015,989,6138,30044,682,542,36
VALLE DEL CAUCA,2015,8249,52188,103148,4059,4603,524
