,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION EJE CAFETERO Y ANTIOQUIA 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,OFICIAL,PRIVADA,,,,
,,ANTIOQUIA,"59,4%","40,6%",,,,
,,CALDAS,"63,9%","36,1%",,,,
,,QUINDIO,"72,7%","27,3%",,,,
,,RISARALDA,"60,6%","39,4%",,,,
,,REGION EJE CAFETERO Y ANTIOQUIA,"60,9%","39,1%",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA POR SECTOR,,,,,,,
,,,,,,,,
,DEPARTAMENTO,SECTOR,2010,2011*,2012*,2013*,2014,2015
,ANTIOQUIA,OFICIAL,158.484,171.881,171.910,180.477,183.233,187.362
,,PRIVADA,87.395,96.863,102.543,113.988,122.452,128.049
,Total ANTIOQUIA,,245.879,268.744,274.453,294.465,305.685,315.411
,CALDAS,OFICIAL,25.614,25.845,27.114,28.303,29.975,29.753
,,PRIVADA,10.075,11.681,12.109,14.085,15.067,16.838
,Total CALDAS,,35.689,37.526,39.223,42.388,45.042,46.591
,QUINDIO,OFICIAL,19.859,19.170,21.813,22.669,20.260,21.605
,,PRIVADA,5.596,6.565,6.833,7.065,7.551,8.115
,Total QUINDIO,,25.455,25.735,28.646,29.734,27.811,29.720
,RISARALDA,OFICIAL,25.635,24.394,24.781,26.938,30.882,30.273
,,PRIVADA,11.648,15.036,15.625,17.512,18.547,19.708
,Total RISARALDA,,37.283,39.430,40.406,44.450,49.429,49.981
,REGION EJE CAFETERO Y ANTIOQUIA,OFICIAL,229.592,241.290,245.618,258.387,264.350,268.993
,,PRIVADA,114.714,130.145,137.110,152.650,163.617,172.710
,Total REGION EJE CAFETERO Y ANTIOQUIA,,344.306,371.435,382.728,411.037,427.967,441.703
