,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION CENTRO ORIENTE 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,,,,,,
,,,PREGRADO,POSGRADO,,,,
,,BOGOTA,"90,9%","9,1%",,,,
,,BOYACA,"92,1%","7,9%",,,,
,,CUNDINAMARCA,"94,9%","5,1%",,,,
,,NORTE DE SANTANDER,"97,5%","2,5%",,,,
,,SANTANDER,"89,5%","10,5%",,,,
,,REGION CENTRO ORIENTE,"91,5%","8,5%",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,BOGOTA D.C.,TECNICA PROFESIONAL,44.862,47.183,46.763,39.971,42.224,39.403
,,TECNOLOGICA,101.371,120.114,129.517,150.728,160.226,162.508
,,UNIVERSITARIA,326.124,359.741,381.539,413.636,442.999,465.501
,,ESPECIALIZACION,31.901,30.380,29.105,30.151,39.324,41.576
,,MAESTRIA,11.508,14.210,15.819,17.636,21.581,23.115
,,DOCTORADO,1.005,1.395,1.538,1.758,1.891,2.210
,Total BOGOTA D.C.,,516.771,573.023,604.281,653.880,708.245,734.313
,BOYACA,TECNICA PROFESIONAL,747,50,130,671,1.152,605
,,TECNOLOGICA,11.345,11.332,12.760,14.276,13.814,13.838
,,UNIVERSITARIA,31.352,35.187,38.049,38.989,41.222,42.912
,,ESPECIALIZACION,1.639,3.776,4.357,5.883,2.845,3.500
,,MAESTRIA,385,670,726,1.090,1.231,1.341
,,DOCTORADO,44,28,84,96,99,111
,Total BOYACA,,45.512,51.043,56.106,61.005,60.363,62.307
,CUNDINAMARCA,TECNICA PROFESIONAL,1.555,321,391,1.215,1.665,671
,,TECNOLOGICA,25.354,21.148,24.208,29.408,33.495,33.553
,,UNIVERSITARIA,23.986,28.099,30.615,32.971,35.131,38.910
,,ESPECIALIZACION,1.791,2.053,1.763,1.649,1.781,2.018
,,MAESTRIA,560,691,722,687,1.403,1.849
,,DOCTORADO,14,9,13,20,27,33
,Total CUNDINAMARCA,,53.260,52.321,57.712,65.950,73.502,77.034
,NORTE DE SANTANDER,TECNICA PROFESIONAL,1.833,916,712,1.124,1.087,1.125
,,TECNOLOGICA,10.628,12.389,11.527,12.486,14.321,13.556
,,UNIVERSITARIA,40.136,44.644,41.101,45.342,47.201,51.235
,,ESPECIALIZACION,1.115,1.225,913,1.240,1.336,1.155
,,MAESTRIA,269,323,318,529,683,514
,Total NORTE DE SANTANDER,,53.981,59.497,54.571,60.721,64.628,67.585
,SANTANDER,TECNICA PROFESIONAL,3.205,3.137,1.701,1.702,3.539,3.387
,,TECNOLOGICA,31.929,39.234,38.388,45.152,44.753,46.485
,,UNIVERSITARIA,55.454,59.313,61.730,63.401,64.660,65.996
,,ESPECIALIZACION,3.180,14.920,20.233,15.407,14.734,8.967
,,MAESTRIA,974,1.124,1.382,3.028,4.982,4.565
,,DOCTORADO,78,66,65,88,96,123
,Total SANTANDER,,94.820,117.794,123.499,128.778,132.764,129.523
,REGION CENTRO ORIENTE,TECNICA PROFESIONAL,52.202,51.607,49.697,44.683,49.667,45.191
,,TECNOLOGICA,180.627,204.217,216.400,252.050,266.609,269.940
,,UNIVERSITARIA,477.052,526.984,553.034,594.339,631.213,664.554
,,ESPECIALIZACION,39.626,52.354,56.371,54.330,60.020,57.216
,,MAESTRIA,13.696,17.018,18.967,22.970,29.880,31.384
,,DOCTORADO,1.141,1.498,1.700,1.962,2.113,2.477
,Total REGION CENTRO ORIENTE,,764.344,853.678,896.169,970.334,1.039.502,1.070.762
