,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION CENTRO SUR Y AMAZONIA 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,,,,,,
,,,PREGRADO,POSGRADO,,,,
,,AMAZONAS,"91,2%","8,8%",,,,
,,CAQUETA,"95,9%","4,1%",,,,
,,HUILA,"96,9%","3,1%",,,,
,,PUTUMAYO,"99,1%","0,9%",,,,
,,TOLIMA,"97,9%","2,1%",,,,
,,REGION CENTRO SUR Y AMAZONIA,"97,3%","2,7%",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,AMAZONAS,TECNICA PROFESIONAL,60,,,82,88,40
,,TECNOLOGICA,758,665,642,292,204,272
,,UNIVERSITARIA,311,307,231,329,329,237
,,ESPECIALIZACION,17,27,13,10,14,17
,,MAESTRIA,,27,27,17,15,28
,,DOCTORADO,,,,3,6,8
,Total AMAZONAS,,1.146,1.026,913,733,656,602
,CAQUETA,TECNICA PROFESIONAL,882,186,128,171,296,248
,,TECNOLOGICA,1.078,1.280,1.137,1.493,1.440,1.668
,,UNIVERSITARIA,6.729,8.017,8.108,8.152,8.830,9.154
,,ESPECIALIZACION,102,185,174,232,167,244
,,MAESTRIA,23,86,132,124,176,217
,,DOCTORADO,,,,,,16
,Total CAQUETA,,8.814,9.754,9.679,10.172,10.909,11.547
,HUILA,TECNICA PROFESIONAL,956,425,473,717,1.035,1.101
,,TECNOLOGICA,7.384,7.630,8.174,10.158,10.042,11.433
,,UNIVERSITARIA,19.313,21.668,23.671,23.338,23.704,24.301
,,ESPECIALIZACION,730,740,633,892,854,768
,,MAESTRIA,116,117,129,104,272,422
,,DOCTORADO,,,,,,7
,Total HUILA,,28.499,30.580,33.080,35.209,35.907,38.032
,PUTUMAYO,TECNICA PROFESIONAL,123,,8,119,273,219
,,TECNOLOGICA,3.160,3.162,2.537,2.422,3.221,4.236
,,UNIVERSITARIA,623,1.178,1.334,1.127,1.405,1.229
,,ESPECIALIZACION,3,92,36,78,105,50
,,MAESTRIA,,,,1,,3
,Total PUTUMAYO,,3.909,4.432,3.915,3.747,5.004,5.737
,TOLIMA,TECNICA PROFESIONAL,1.967,3.042,3.190,3.760,3.907,3.929
,,TECNOLOGICA,12.007,14.463,14.821,14.703,16.573,15.067
,,UNIVERSITARIA,19.985,23.370,25.510,27.623,28.626,28.685
,,ESPECIALIZACION,363,477,299,1.170,911,779
,,MAESTRIA,84,169,105,432,434,236
,,DOCTORADO,,,,10,10,6
,Total TOLIMA,,34.406,41.521,43.925,47.698,50.461,48.702
,REGION CENTRO SUR Y AMAZONIA,TECNICA PROFESIONAL,3.988,3.653,3.799,4.849,5.599,5.537
,,TECNOLOGICA,24.387,27.200,27.311,29.068,31.480,32.676
,,UNIVERSITARIA,46.961,54.540,58.854,60.569,62.894,63.606
,,ESPECIALIZACION,1.215,1.521,1.155,2.382,2.051,1.858
,,MAESTRIA,223,399,393,678,897,906
,,DOCTORADO,,,,13,16,37
,Total REGION CENTRO SUR Y AMAZONIA,,76.774,87.313,91.512,97.559,102.937,104.620
