,MINISTERIO DE EDUCACION NACIONAL,,,,,,
,REGION CENTRO ORIENTE 2010 - 2015,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,
,,,,,,,
,,,,,,,
,,,PREGRADO,POSGRADO,,,
,,BOGOTA,"73,7%","26,3%",,,
,,BOYACA,"53,5%","46,5%",,,
,,CUNDINAMARCA,"87,4%","12,6%",,,
,,NORTE DE SANTANDER,"90,3%","9,7%",,,
,,SANTANDER,"71,3%","28,7%",,,
,,REGION CENTRO ORIENTE,"73,7%","26,3%",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GRADUADOS,,,,,,
,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014
,BOGOTA DC,FORMACION TECNICA PROFESIONAL,9.312,11.988,7.886,7.370,5.284
,,TECNOLOGICA,5.904,18.012,20.360,25.120,24.368
,,UNIVERSITARIA,39.967,43.277,49.806,52.530,52.704
,,ESPECIALIZACION,29.883,32.185,31.135,25.480,23.943
,,MAESTRIA,3.064,4.079,4.778,4.631,5.260
,,DOCTORADO,101,113,137,134,175
,Total BOGOTA DC,,88.231,109.654,114.102,115.265,111.734
,BOYACA,FORMACION TECNICA PROFESIONAL,834,106,780,365,446
,,TECNOLOGICA,264,1.880,2.158,2.288,2.553
,,UNIVERSITARIA,3.367,3.885,4.127,4.190,4.476
,,ESPECIALIZACION,2.460,4.048,3.649,3.725,6.296
,,MAESTRIA,41,119,137,169,191
,,DOCTORADO,5,1,4,2,3
,Total BOYACA,,6.971,10.039,10.855,10.739,13.965
,CUNDINAMARCA,FORMACION TECNICA PROFESIONAL,805,92,2.165,1.758,644
,,TECNOLOGICA,1.614,5.764,5.293,5.784,7.033
,,UNIVERSITARIA,2.218,2.421,2.544,3.018,2.599
,,ESPECIALIZACION,1.084,981,1.265,991,1.203
,,MAESTRIA,210,194,290,352,278
,,DOCTORADO,,,,,2
,Total CUNDINAMARCA,,5.931,9.452,11.557,11.903,11.759
,NORTE DE SANTANDER,FORMACION TECNICA PROFESIONAL,7,45,34,171,126
,,TECNOLOGICA,774,1.962,2.007,2.295,2.307
,,UNIVERSITARIA,3.897,5.686,8.297,9.266,6.858
,,ESPECIALIZACION,1.664,1.101,939,993,899
,,MAESTRIA,44,44,65,96,100
,Total NORTE DE SANTANDER,,6.386,8.838,11.342,12.821,10.290
,SANTANDER,FORMACION TECNICA PROFESIONAL,1.502,488,1.014,546,665
,,TECNOLOGICA,2.025,5.329,6.111,6.036,6.207
,,UNIVERSITARIA,6.081,6.803,7.602,7.973,9.276
,,ESPECIALIZACION,2.214,5.400,10.228,7.178,6.155
,,MAESTRIA,192,260,415,423,354
,,DOCTORADO,9,11,10,3,5
,Total SANTANDER,,12.023,18.291,25.380,22.159,22.662
,REGION CENTRO ORIENTE,FORMACION TECNICA PROFESIONAL,12.460,12.719,11.879,10.210,7.165
,,TECNOLOGICA,10.581,32.947,35.929,41.523,42.468
,,UNIVERSITARIA,55.530,62.072,72.376,76.977,75.913
,,ESPECIALIZACION,37.305,43.715,47.216,38.367,38.496
,,MAESTRIA,3.551,4.696,5.685,5.671,6.183
,,DOCTORADO,115,125,151,139,185
,Total REGION CENTRO ORIENTE,,119.542,156.274,173.236,172.887,170.410
