,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION CARIBE 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,,,,,,
,,,PREGRADO,POSGRADO,,,,
,,ATLANTICO,"96,3%","3,7%",,,,
,,BOLIVAR,"97,0%","3,0%",,,,
,,CESAR,"99,4%","0,6%",,,,
,,CORDOBA,"97,1%","2,9%",,,,
,,LA GUAJIRA,"99,6%","0,4%",,,,
,,MAGDALENA,"97,6%","2,4%",,,,
,,SAN ANDRES Y PROVIDENCIA,"98,4%","1,6%",,,,
,,SUCRE,"98,5%","1,5%",,,,
,,REGION CARIBE,"97,3%","2,7%",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,ATLANTICO,TECNICA PROFESIONAL,5.297,4.075,4.530,6.438,9.736,9.417
,,TECNOLOGICA,12.083,16.211,16.286,26.231,33.268,33.669
,,UNIVERSITARIA,63.339,65.541,69.058,73.300,78.850,82.498
,,ESPECIALIZACION,2.322,3.196,2.455,3.333,2.635,2.679
,,MAESTRIA,690,986,1.033,1.534,1.538,2.076
,,DOCTORADO,33,47,24,54,114,114
,Total ATLANTICO,,83.764,90.056,93.386,110.890,126.141,130.453
,BOLIVAR,TECNICA PROFESIONAL,2.603,3.175,2.380,1.982,1.964,3.310
,,TECNOLOGICA,18.802,22.931,24.463,30.590,30.639,31.582
,,UNIVERSITARIA,31.854,36.559,37.444,38.008,38.331,39.872
,,ESPECIALIZACION,796,1.424,1.200,1.740,1.670,1.671
,,MAESTRIA,54,49,87,359,327,580
,,DOCTORADO,,11,42,55,73,68
,Total BOLIVAR,,54.109,64.149,65.616,72.734,73.004,77.083
,CESAR,TECNICA PROFESIONAL,376,187,128,174,296,117
,,TECNOLOGICA,4.924,5.505,6.095,7.580,8.479,8.967
,,UNIVERSITARIA,16.067,19.398,20.657,21.652,22.130,22.802
,,ESPECIALIZACION,123,298,181,165,190,169
,,MAESTRIA,,,,3,4,27
,Total CESAR,,21.490,25.388,27.061,29.574,31.099,32.082
,CORDOBA,TECNICA PROFESIONAL,1.362,846,820,1.450,2.159,2.003
,,TECNOLOGICA,4.210,4.336,4.551,6.023,5.445,3.806
,,UNIVERSITARIA,21.658,24.274,27.018,28.824,30.630,31.299
,,ESPECIALIZACION,154,758,601,560,673,930
,,MAESTRIA,2,126,165,62,76,181
,Total CORDOBA,,27.386,30.340,33.155,36.919,38.983,38.219
,LA GUAJIRA,TECNICA PROFESIONAL,1.059,634,275,1.012,984,684
,,TECNOLOGICA,4.579,3.821,4.073,3.652,4.664,5.242
,,UNIVERSITARIA,8.474,8.775,8.623,8.995,10.858,14.268
,,ESPECIALIZACION,222,159,254,80,141,54
,,MAESTRIA,7,9,53,45,23,33
,Total LA GUAJIRA,,14.341,13.398,13.278,13.784,16.670,20.281
,MAGDALENA,TECNICA PROFESIONAL,1.636,2.245,2.664,3.459,3.516,3.958
,,TECNOLOGICA,5.599,6.586,7.859,7.706,6.794,7.022
,,UNIVERSITARIA,15.815,21.689,23.329,25.149,25.767,27.563
,,ESPECIALIZACION,744,1.064,692,672,808,706
,,MAESTRIA,117,115,120,74,89,201
,,DOCTORADO,,,1,1,32,21
,Total MAGDALENA,,23.911,31.699,34.665,37.061,37.006,39.471
,SAN ANDRES Y PROVIDENCIA,TECNICA PROFESIONAL,574,104,148,194,494,410
,,TECNOLOGICA,1.139,934,991,1.011,1.321,1.234
,,UNIVERSITARIA,32,16,44,69,47,39
,,ESPECIALIZACION,,,51,,44,
,,MAESTRIA,7,14,12,23,13,16
,,DOCTORADO,,3,1,4,7,12
,Total SAN ANDRES Y PROVIDENCIA,,1.752,1.071,1.247,1.301,1.926,1.711
,SUCRE,TECNICA PROFESIONAL,891,2.455,578,1.490,2.466,2.196
,,TECNOLOGICA,1.941,2.052,1.680,1.587,1.713,2.137
,,UNIVERSITARIA,11.208,12.783,13.921,15.203,16.125,15.998
,,ESPECIALIZACION,594,944,706,997,724,279
,,MAESTRIA,,1,2,59,3,38
,Total SUCRE,,14.634,18.235,16.887,19.336,21.031,20.648
,REGION CARIBE,TECNICA PROFESIONAL,13.798,13.721,11.523,16.199,21.615,22.095
,,TECNOLOGICA,53.277,62.376,65.998,84.380,92.323,93.659
,,UNIVERSITARIA,168.447,189.035,200.094,211.200,222.738,234.339
,,ESPECIALIZACION,4.955,7.843,6.140,7.547,6.885,6.488
,,MAESTRIA,877,1.300,1.472,2.159,2.073,3.152
,,DOCTORADO,33,61,68,114,226,215
,Total REGION CARIBE,,241.387,274.336,285.295,321.599,345.860,359.948
