,MINISTERIO DE EDUCACION NACIONAL,,,,,,
,REGION CENTRO SUR Y AMAZONIA 2010 - 2015,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,
,,,,,,,
,,,,,,,
,,,PREGRADO,POSGRADO,,,
,,AMAZONAS,"91,3%","8,7%",,,
,,CAQUETA,"89,3%","10,7%",,,
,,HUILA,"88,5%","11,5%",,,
,,TOLIMA,"90,0%","10,0%",,,
,,PUTUMAYO,"98,3%","1,7%",,,
,,REGION CENTRO SUR Y AMAZONIA,"89,9%","10,1%",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GRADUADOS,,,,,,
,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014
,AMAZONAS,FORMACION TECNICA PROFESIONAL,,11,53,51,
,,TECNOLOGICA,,107,56,35,74
,,UNIVERSITARIA,1,21,22,35,31
,,ESPECIALIZACION,3,18,3,5,3
,,MAESTRIA,13,12,5,11,7
,Total AMAZONAS,,17,169,139,137,115
,CAQUETA,FORMACION TECNICA PROFESIONAL,23,106,76,69,33
,,TECNOLOGICA,20,154,224,271,203
,,UNIVERSITARIA,929,795,836,924,829
,,ESPECIALIZACION,166,77,153,199,110
,,MAESTRIA,9,12,39,33,18
,Total CAQUETA,,1.147,1.144,1.328,1.496,1.193
,HUILA,FORMACION TECNICA PROFESIONAL,134,172,137,151,122
,,TECNOLOGICA,160,1.284,1.510,1.549,1.829
,,UNIVERSITARIA,1.561,2.137,2.347,2.723,2.472
,,ESPECIALIZACION,445,666,661,443,548
,,MAESTRIA,,31,35,30,24
,Total HUILA,,2.300,4.290,4.690,4.896,4.995
,PUTUMAYO,FORMACION TECNICA PROFESIONAL,,21,5,3,4
,,TECNOLOGICA,93,500,594,548,489
,,UNIVERSITARIA,59,57,168,126,160
,,ESPECIALIZACION,73,7,69,38,11
,Total PUTUMAYO,,225,585,836,715,664
,TOLIMA,FORMACION TECNICA PROFESIONAL,1.318,762,1.396,1.336,1.092
,,TECNOLOGICA,1.075,2.787,2.703,3.141,3.771
,,UNIVERSITARIA,3.499,4.113,5.304,4.900,5.017
,,ESPECIALIZACION,1.590,804,892,991,980
,,MAESTRIA,56,31,153,114,118
,,DOCTORADO,,1,1,1,1
,Total TOLIMA,,7.538,8.498,10.449,10.483,10.979
,REGION CENTRO SUR Y AMAZONIA,FORMACION TECNICA PROFESIONAL,1.475,1.072,1.667,1.610,1.251
,,TECNOLOGICA,1.348,4.832,5.087,5.544,6.366
,,UNIVERSITARIA,6.049,7.123,8.677,8.708,8.509
,,ESPECIALIZACION,2.277,1.572,1.778,1.676,1.652
,,MAESTRIA,78,86,232,188,167
,,DOCTORADO,,1,1,1,1
,Total REGION CENTRO SUR Y AMAZONIA,,11.227,14.686,17.442,17.727,17.946
