,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION CARIBE 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,OFICIAL,PRIVADA,,,,
,,ATLANTICO,"42,2%","57,8%",,,,
,,BOLIVAR,"48,6%","51,4%",,,,
,,CESAR,"81,4%","18,6%",,,,
,,CORDOBA,"50,8%","49,2%",,,,
,,LA GUAJIRA,"99,1%","0,9%",,,,
,,MAGDALENA,"76,8%","23,2%",,,,
,,SAN ANDRES Y PROVIDENCIA,"99,3%","0,7%",,,,
,,SUCRE,"40,5%","59,5%",,,,
,,REGION CARIBE,"55,2%","44,8%",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA POR SECTOR,,,,,,,
,,,,,,,,
,DEPARTAMENTO,SECTOR,2010,2011*,2012*,2013*,2014,2015
,ATLANTICO,OFICIAL,28.214,34.910,36.612,47.247,54.493,55.039
,ATLANTICO,PRIVADA,55.550,55.146,56.774,63.643,71.648,75.414
,Total ATLANTICO,,83.764,90.056,93.386,110.890,126.141,130.453
,BOLIVAR,OFICIAL,26.756,32.623,32.361,35.807,35.904,37.456
,BOLIVAR,PRIVADA,27.353,31.526,33.255,36.927,37.100,39.627
,Total BOLIVAR,,54.109,64.149,65.616,72.734,73.004,77.083
,CESAR,OFICIAL,18.517,21.774,22.769,24.100,25.290,26.125
,CESAR,PRIVADA,2.973,3.614,4.292,5.474,5.809,5.957
,Total CESAR,,21.490,25.388,27.061,29.574,31.099,32.082
,CORDOBA,OFICIAL,16.078,16.580,18.156,20.395,21.199,19.420
,CORDOBA,PRIVADA,11.308,13.760,14.999,16.524,17.784,18.799
,Total CORDOBA,,27.386,30.340,33.155,36.919,38.983,38.219
,LA GUAJIRA,OFICIAL,14.065,13.059,13.016,13.329,16.395,20.101
,LA GUAJIRA,PRIVADA,276,339,262,455,275,180
,Total LA GUAJIRA,,14.341,13.398,13.278,13.784,16.670,20.281
,MAGDALENA,OFICIAL,18.300,23.921,26.926,28.420,27.968,30.321
,MAGDALENA,PRIVADA,5.611,7.778,7.739,8.641,9.038,9.150
,Total MAGDALENA,,23.911,31.699,34.665,37.061,37.006,39.471
,SAN ANDRES Y PROVIDENCIA,OFICIAL,1.713,1.071,1.192,1.277,1.908,1.699
,SAN ANDRES Y PROVIDENCIA,PRIVADA,39,,55,24,18,12
,Total SAN ANDRES Y PROVIDENCIA,,1.752,1.071,1.247,1.301,1.926,1.711
,SUCRE,OFICIAL,7.539,7.694,6.903,7.453,8.361,8.371
,SUCRE,PRIVADA,7.095,10.541,9.984,11.883,12.670,12.277
,Total SUCRE,,14.634,18.235,16.887,19.336,21.031,20.648
,REGION CARIBE,OFICIAL,131.182,151.632,157.935,178.028,191.518,198.532
,REGION CARIBE,PRIVADA,110.205,122.704,127.360,143.571,154.342,161.416
,Total REGION CARIBE,,241.387,274.336,285.295,321.599,345.860,359.948
