,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION PACIFICO 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,MATRICULA TOTAL,MATRICULA ACREDITADA,PORCENTAJE,,,
,,CAUCA,43.470,17.451,"40,1%",,,
,,CHOCO,13.327,358,"2,7%",,,
,,NARIÑO,38.431,7.007,"18,2%",,,
,,VALLE DEL CAUCA,172.771,64.302,"37,2%",,,
,,REGION PACIFICO,267.999,89.118,"33,3%",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA ACREDITADA (IES Y PROGRAMAS) POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,CAUCA,TECNOLOGICA,,42,64,262,299,281
,,UNIVERSITARIA,3.316,4.414,5.850,14.786,15.290,16.167
,,ESPECIALIZACION,,,,309,436,371
,,MAESTRIA,,,,253,380,535
,,DOCTORADO,,,,79,88,97
,Total CAUCA,,3.316,4.456,5.914,15.689,16.493,17.451
,CHOCO,TECNICA PROFESIONAL,,,,134,150,
,,UNIVERSITARIA,,,169,210,274,231
,,MAESTRIA,13,9,11,16,47,127
,Total CHOCO,,13,9,180,360,471,358
,NARIÑO,TECNICA PROFESIONAL,,,,103,121,
,,TECNOLOGICA,,,,131,156,185
,,UNIVERSITARIA,3.260,4.526,5.654,4.673,5.156,6.417
,,ESPECIALIZACION,56,14,66,49,248,250
,,MAESTRIA,20,,,73,188,155
,Total NARIÑO,,3.336,4.540,5.720,5.029,5.869,7.007
,VALLE DEL CAUCA,TECNICA PROFESIONAL,,,1.454,1.452,1.610,1.330
,,TECNOLOGICA,3.785,3.786,4.373,3.958,4.546,4.835
,,UNIVERSITARIA,44.586,46.385,53.111,53.923,54.855,51.705
,,ESPECIALIZACION,1.796,1.744,2.127,1.985,2.197,2.307
,,MAESTRIA,2.564,3.050,3.219,3.315,3.266,3.634
,,DOCTORADO,281,348,359,419,444,491
,Total VALLE DEL CAUCA,,53.012,55.313,64.643,65.052,66.918,64.302
,REGION PACIFICO,TECNICA PROFESIONAL,,,1.454,1.689,1.881,1.330
,,TECNOLOGICA,3.785,3.828,4.437,4.351,5.001,5.301
,,UNIVERSITARIA,51.162,55.325,64.784,73.592,75.575,74.520
,,ESPECIALIZACION,1.852,1.758,2.193,2.343,2.881,2.928
,,MAESTRIA,2.597,3.059,3.230,3.657,3.881,4.451
,,DOCTORADO,281,348,359,498,532,588
,Total REGION PACIFICO,,59.677,64.318,76.457,86.130,89.751,89.118
