,MINISTERIO DE EDUCACION NACIONAL,,,,,,
,REGION EJE CAFETERO Y ANTIOQUIA 2010 - 2015,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,
,,,,,,,
,,,,,,,
,,,PREGRADO,POSGRADO,,,
,,ANTIOQUIA,"81,5%","18,5%",,,
,,CALDAS,"78,5%","21,5%",,,
,,QUINDIO,"90,7%","9,3%",,,
,,RISARALDA,"84,7%","15,3%",,,
,,REGION EJE CAFETERO Y ANTIOQUIA,"82,1%","17,9%",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GRADUADOS,,,,,,
,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014
,ANTIOQUIA,FORMACION TECNICA PROFESIONAL,1.726,1.296,1.764,1.466,553
,,TECNOLOGICA,5.683,13.873,16.335,19.400,17.892
,,UNIVERSITARIA,15.594,17.745,20.150,19.159,19.995
,,ESPECIALIZACION,5.408,6.268,7.535,7.259,6.825
,,MAESTRIA,821,1.090,1.508,1.422,1.814
,,DOCTORADO,57,92,103,96,87
,Total ANTIOQUIA,,29.289,40.364,47.395,48.802,47.166
,CALDAS,FORMACION TECNICA PROFESIONAL,65,176,840,785,542
,,TECNOLOGICA,509,2.049,2.020,2.192,2.825
,,UNIVERSITARIA,3.056,2.549,3.687,3.537,3.214
,,ESPECIALIZACION,2.303,1.662,1.874,1.235,1.140
,,MAESTRIA,403,317,637,925,637
,,DOCTORADO,9,16,22,24,28
,Total CALDAS,,6.345,6.769,9.080,8.698,8.386
,QUINDIO,FORMACION TECNICA PROFESIONAL,252,427,343,302,322
,,TECNOLOGICA,413,1.317,1.403,1.403,1.485
,,UNIVERSITARIA,1.839,2.233,1.954,2.618,2.550
,,ESPECIALIZACION,158,174,265,382,385
,,MAESTRIA,8,13,23,39,59
,,DOCTORADO,,,,2,2
,Total QUINDIO,,2.670,4.164,3.988,4.746,4.803
,RISARALDA,FORMACION TECNICA PROFESIONAL,133,153,157,180,237
,,TECNOLOGICA,483,1.562,1.987,1.996,1.744
,,UNIVERSITARIA,2.058,2.240,3.143,3.203,3.809
,,ESPECIALIZACION,603,552,798,878,788
,,MAESTRIA,142,148,245,207,246
,,DOCTORADO,,1,8,5,10
,Total RISARALDA,,3.419,4.656,6.338,6.469,6.834
,REGION EJE CAFETERO Y ANTIOQUIA,FORMACION TECNICA PROFESIONAL,2.176,2.052,3.104,2.733,1.654
,,TECNOLOGICA,7.088,18.801,21.745,24.991,23.946
,,UNIVERSITARIA,22.547,24.767,28.934,28.517,29.568
,,ESPECIALIZACION,8.472,8.656,10.472,9.754,9.138
,,MAESTRIA,1.374,1.568,2.413,2.593,2.756
,,DOCTORADO,66,109,133,127,127
,Total REGION EJE CAFETERO Y ANTIOQUIA,,41.723,55.953,66.801,68.715,67.189
