,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION CENTRO ORIENTE 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,OFICIAL,PRIVADA,,,,
,,BOGOTA,"31,1%","68,9%",,,,
,,BOYACA,"72,2%","27,8%",,,,
,,CUNDINAMARCA,"70,2%","29,8%",,,,
,,NORTE DE SANTANDER,"80,8%","19,2%",,,,
,,SANTANDER,"54,0%","46,0%",,,,
,,REGION CENTRO ORIENTE,"42,2%","57,8%",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA POR SECTOR,,,,,,,
,,,,,,,,
,DEPARTAMENTO,SECTOR,2010,2011*,2012*,2013*,2014,2015
,BOGOTA D.C.,OFICIAL,175.950,191.314,200.413,217.288,227.286,228.258
,,PRIVADA,340.821,381.709,403.868,436.592,480.959,506.055
,Total BOGOTA D.C.,,516.771,573.023,604.281,653.880,708.245,734.313
,BOYACA,OFICIAL,37.952,39.129,41.379,43.304,45.127,45.011
,,PRIVADA,7.560,11.914,14.727,17.701,15.236,17.296
,Total BOYACA,,45.512,51.043,56.106,61.005,60.363,62.307
,CUNDINAMARCA,OFICIAL,40.618,39.016,42.192,46.789,52.051,54.061
,,PRIVADA,12.642,13.305,15.520,19.161,21.451,22.973
,Total CUNDINAMARCA,,53.260,52.321,57.712,65.950,73.502,77.034
,NORTE DE SANTANDER,OFICIAL,46.997,49.628,47.539,47.509,51.929,54.614
,,PRIVADA,6.984,9.869,7.032,13.212,12.699,12.971
,Total NORTE DE SANTANDER,,53.981,59.497,54.571,60.721,64.628,67.585
,SANTANDER,OFICIAL,55.058,61.495,62.125,68.337,68.259,69.984
,,PRIVADA,39.762,56.299,61.374,60.441,64.505,59.539
,Total SANTANDER,,94.820,117.794,123.499,128.778,132.764,129.523
,REGION CENTRO ORIENTE,OFICIAL,356.575,380.582,393.648,423.227,444.652,451.928
,,PRIVADA,407.769,473.096,502.521,547.107,594.850,618.834
,Total REGION CENTRO ORIENTE,,764.344,853.678,896.169,970.334,1.039.502,1.070.762
