,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION CARIBE 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,MATRICULA TOTAL,MATRICULA ACREDITADA,PORCENTAJE,,,
,,ATLANTICO,130.453,36.379,"27,9%",,,
,,BOLIVAR,77.083,31.050,"40,3%",,,
,,CESAR,32.082,1.821,"5,7%",,,
,,CORDOBA,38.219,8.807,"23,0%",,,
,,GUAJIRA,20.281,338,"1,7%",,,
,,MAGDALENA,39.471,6.642,"16,8%",,,
,,SAN ANDRES Y PROVIDENCIA,1.711,67,"3,9%",,,
,,SUCRE,20.648,1.997,"9,7%",,,
,,REGION CARIBE,359.948,87.101,"24,2%",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA ACREDITADA (IES Y PROGRAMAS) POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,ATLANTICO,TECNICA PROFESIONAL,,,725,216,1.565,1.318
,,TECNOLOGICA,448,517,511,533,1.875,1.533
,,UNIVERSITARIA,10.745,12.821,17.299,17.973,25.391,31.686
,,ESPECIALIZACION,1.348,1.373,1.284,1.404,557,625
,,MAESTRIA,666,801,598,774,854,1.107
,,DOCTORADO,33,47,22,52,80,110
,Total ATLANTICO,,13.240,15.559,20.439,20.952,30.322,36.379
,BOLIVAR,TECNICA PROFESIONAL,213,193,658,1.265,1.222,2.434
,,TECNOLOGICA,2.760,3.738,5.855,7.843,7.709,7.610
,,UNIVERSITARIA,5.760,10.257,10.894,18.356,19.483,19.321
,,ESPECIALIZACION,194,64,102,1.193,1.142,1.166
,,MAESTRIA,,5,25,262,237,451
,,DOCTORADO,,,,55,73,68
,Total BOLIVAR,,8.927,14.257,17.534,28.974,29.866,31.050
,CESAR,TECNOLOGICA,,,,2,4,3
,,UNIVERSITARIA,763,754,1.697,1.878,1.936,1.768
,,ESPECIALIZACION,90,65,68,43,16,25
,,MAESTRIA,,,,,,25
,Total CESAR,,853,819,1.765,1.923,1.956,1.821
,CORDOBA,TECNICA PROFESIONAL,,,,99,97,81
,,TECNOLOGICA,,,,53,35,45
,,UNIVERSITARIA,5.379,6.064,5.775,6.503,10.067,8.344
,,ESPECIALIZACION,151,309,299,,293,293
,,MAESTRIA,,,,19,65,44
,Total CORDOBA,,5.530,6.373,6.074,6.674,10.557,8.807
,LA GUAJIRA,TECNICA PROFESIONAL,,,,98,89,75
,,UNIVERSITARIA,,,185,175,317,263
,,ESPECIALIZACION,,29,20,28,3,
,Total LA GUAJIRA,,,29,205,301,409,338
,MAGDALENA,UNIVERSITARIA,510,663,2.237,2.517,2.749,6.103
,,ESPECIALIZACION,212,198,122,201,205,426
,,MAESTRIA,,,,,8,113
,Total MAGDALENA,,722,861,2.359,2.718,2.962,6.642
,SAN ANDRES Y PROVIDENCIA,TECNICA PROFESIONAL,,,,,31,
,,TECNOLOGICA,,,,2,1,
,,UNIVERSITARIA,,16,40,65,47,39
,,ESPECIALIZACION,,,26,,,
,,MAESTRIA,7,14,12,23,13,16
,,DOCTORADO,,3,1,4,7,12
,Total SAN ANDRES Y PROVIDENCIA,,7,33,79,94,99,67
,SUCRE,TECNICA PROFESIONAL,,,,215,460,169
,,TECNOLOGICA,,216,184,116,242,481
,,UNIVERSITARIA,710,691,868,1.123,1.703,1.271
,,ESPECIALIZACION,26,74,49,44,3,43
,,MAESTRIA,,,,,,33
,Total SUCRE,,736,981,1.101,1.498,2.408,1.997
,REGION CARIBE,TECNICA PROFESIONAL,213,193,1.383,1.893,3.464,4.077
,,TECNOLOGICA,3.208,4.471,6.550,8.549,9.866,9.672
,,UNIVERSITARIA,23.867,31.266,38.995,48.590,61.693,68.795
,,ESPECIALIZACION,2.021,2.112,1.970,2.913,2.219,2.578
,,MAESTRIA,673,820,635,1.078,1.177,1.789
,,DOCTORADO,33,50,23,111,160,190
,Total REGION CARIBE,,30.015,38.912,49.556,63.134,78.579,87.101
