,MINISTERIO DE EDUCACION NACIONAL,,,,,,
,REGION LLANOS 2010 - 2014,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,
,,,,,,,
,,,,,,,
,,,PREGRADO,POSGRADO,,,
,,ARAUCA,"93,4%","6,6%",,,
,,CASANARE,"94,7%","5,3%",,,
,,GUAINIA,"97,3%","2,7%",,,
,,GUAVIARE,"87,8%","12,2%",,,
,,META,"86,4%","13,6%",,,
,,VAUPES,"100,0%",,,,
,,VICHADA,"90,3%","9,7%",,,
,,REGION LLANOS,"88,8%","11,2%",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GRADUADOS,,,,,,
,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014
,ARAUCA,FORMACION TECNICA PROFESIONAL,45,130,16,15,3
,,TECNOLOGICA,,142,173,219,279
,,UNIVERSITARIA,65,71,159,170,281
,,ESPECIALIZACION,,,,1,40
,Total ARAUCA,,110,343,348,405,603
,CASANARE,FORMACION TECNICA PROFESIONAL,,10,3,,30
,,TECNOLOGICA,29,381,329,461,489
,,UNIVERSITARIA,343,248,333,394,588
,,ESPECIALIZACION,2,2,24,60,62
,Total CASANARE,,374,641,689,915,1.169
,GUAINIA,FORMACION TECNICA PROFESIONAL,,3,2,6,
,,TECNOLOGICA,,16,110,81,67
,,UNIVERSITARIA,5,,15,9,5
,,ESPECIALIZACION,,,,2,2
,Total GUAINIA,,5,19,127,98,74
,GUAVIARE,FORMACION TECNICA PROFESIONAL,,2,3,,
,,TECNOLOGICA,10,88,121,242,147
,,UNIVERSITARIA,81,6,17,25,12
,,ESPECIALIZACION,,2,3,17,22
,Total GUAVIARE,,91,98,144,284,181
,META,FORMACION TECNICA PROFESIONAL,733,69,714,269,308
,,TECNOLOGICA,202,1.127,992,1.130,1.146
,,UNIVERSITARIA,1.659,1.691,2.114,2.516,2.531
,,ESPECIALIZACION,399,599,661,626,610
,,MAESTRIA,7,7,2,3,15
,Total META,,3.000,3.493,4.483,4.544,4.610
,VAUPES,FORMACION TECNICA PROFESIONAL,,1,,,
,,TECNOLOGICA,,56,15,46,47
,,UNIVERSITARIA,5,,,,
,,ESPECIALIZACION,,,,7,
,Total VAUPES,,5,57,15,53,47
,VICHADA,FORMACION TECNICA PROFESIONAL,,21,2,4,
,,TECNOLOGICA,1,37,64,110,130
,,UNIVERSITARIA,28,7,11,17,10
,,ESPECIALIZACION,,2,1,2,15
,Total VICHADA,,29,67,78,133,155
,REGION LLANOS,FORMACION TECNICA PROFESIONAL,778,236,740,294,341
,,TECNOLOGICA,242,1.847,1.804,2.289,2.305
,,UNIVERSITARIA,2.186,2.023,2.649,3.131,3.427
,,ESPECIALIZACION,401,605,689,715,751
,,MAESTRIA,7,7,2,3,15
,Total REGION LLANOS,,3.614,4.718,5.884,6.432,6.839
