,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION EJE CAFETERO Y ANTIOQUIA 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,MATRICULA TOTAL,MATRICULA ACREDITADA,PORCENTAJE,,,
,,ANTIOQUIA,315.411,145.176,"46,0%",,,
,,CALDAS,46.591,32.364,"69,5%",,,
,,QUINDIO,29.720,3.435,"11,6%",,,
,,RISARALDA,49.981,24.136,"48,3%",,,
,,REGION EJE CAFETERO Y ANTIOQUIA,441.703,205.111,"46,4%",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA ACREDITADA (IES Y PROGRAMAS) POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,ANTIOQUIA,TECNICA PROFESIONAL,532,620,184,705,419,1.265
,,TECNOLOGICA,22.284,18.666,18.412,23.775,23.122,21.341
,,UNIVERSITARIA,78.010,81.142,93.643,103.091,105.756,109.957
,,ESPECIALIZACION,4.908,5.200,5.103,5.986,5.923,5.683
,,MAESTRIA,2.983,3.618,3.761,4.348,4.675,5.640
,,DOCTORADO,610,694,784,958,1.129,1.290
,Total ANTIOQUIA,,109.327,109.940,121.887,138.863,141.024,145.176
,CALDAS,TECNICA PROFESIONAL,1,50,45,750,1.489,2.140
,,TECNOLOGICA,1.903,2.378,2.246,2.423,2.061,3.528
,,UNIVERSITARIA,18.071,17.971,18.711,18.399,19.848,22.407
,,ESPECIALIZACION,515,343,392,435,496,1.216
,,MAESTRIA,666,806,778,799,953,2.699
,,DOCTORADO,76,101,124,154,183,374
,Total CALDAS,,21.232,21.649,22.296,22.960,25.030,32.364
,QUINDIO,TECNOLOGICA,,,,1,2,
,,UNIVERSITARIA,1.715,2.435,3.861,3.902,3.420,2.954
,,ESPECIALIZACION,20,197,200,233,259,449
,,MAESTRIA,22,41,29,,21,32
,Total QUINDIO,,1.757,2.673,4.090,4.136,3.702,3.435
,RISARALDA,TECNICA PROFESIONAL,841,444,464,498,581,666
,,TECNOLOGICA,2.038,2.112,2.153,2.308,2.581,2.467
,,UNIVERSITARIA,14.383,15.654,15.209,18.161,18.309,19.264
,,ESPECIALIZACION,381,287,325,434,441,547
,,MAESTRIA,870,942,926,933,909,1.125
,,DOCTORADO,53,46,22,43,61,67
,Total RISARALDA,,18.566,19.485,19.099,22.377,22.882,24.136
,REGION EJE CAFETERO Y ANTIOQUIA,TECNICA PROFESIONAL,1.374,1.114,693,1.953,2.489,4.071
,,TECNOLOGICA,26.225,23.156,22.811,28.507,27.766,27.336
,,UNIVERSITARIA,112.179,117.202,131.424,143.553,147.333,154.582
,,ESPECIALIZACION,5.824,6.027,6.020,7.088,7.119,7.895
,,MAESTRIA,4.541,5.407,5.494,6.080,6.558,9.496
,,DOCTORADO,739,841,930,1.155,1.373,1.731
,Total REGION EJE CAFETERO Y ANTIOQUIA,,150.882,153.747,167.372,188.336,192.638,205.111
