,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION CENTRO SUR Y AMAZONIA 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,MATRICULA TOTAL,MATRICULA ACREDITADA,PORCENTAJE,,,
,,AMAZONAS,602,90,"15,0%",,,
,,CAQUETA,11.547,1.900,"16,5%",,,
,,HUILA,38.032,5.810,"15,3%",,,
,,PUTUMAYO,5.737,298,"5,2%",,,
,,TOLIMA,48.702,8.762,"18,0%",,,
,,REGION CENTRO SUR Y AMAZONIA,104.620,16.860,"16,1%",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA ACREDITADA (IES Y PROGRAMAS) POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,AMAZONAS,TECNICA PROFESIONAL,,,,50,50,
,,TECNOLOGICA,4,1,,1,1,
,,UNIVERSITARIA,19,57,65,74,66,54
,,ESPECIALIZACION,,9,4,2,2,2
,,MAESTRIA,,27,27,17,14,26
,,DOCTORADO,,,,3,6,8
,Total AMAZONAS,,23,94,96,147,139,90
,CAQUETA,UNIVERSITARIA,1.180,1.295,1.720,1.194,1.545,1.900
,Total CAQUETA,,1.180,1.295,1.720,1.194,1.545,1.900
,HUILA,TECNOLOGICA,,,,1,,
,,UNIVERSITARIA,4.014,4.252,5.998,6.113,5.073,5.607
,,ESPECIALIZACION,,,,66,130,185
,,MAESTRIA,32,26,29,,,18
,Total HUILA,,4.046,4.278,6.027,6.180,5.203,5.810
,PUTUMAYO,UNIVERSITARIA,,348,413,328,444,298
,Total PUTUMAYO,,,348,413,328,444,298
,TOLIMA,TECNICA PROFESIONAL,,,,347,294,160
,,TECNOLOGICA,,,,1,1,1
,,UNIVERSITARIA,4.494,4.407,5.653,5.826,6.151,8.374
,,ESPECIALIZACION,,,45,182,142,202
,,MAESTRIA,,,57,33,28,25
,Total TOLIMA,,4.494,4.407,5.755,6.389,6.616,8.762
,REGION CENTRO SUR Y AMAZONIA,TECNICA PROFESIONAL,,,,397,344,160
,,TECNOLOGICA,4,1,,3,2,1
,,UNIVERSITARIA,9.707,10.359,13.849,13.535,13.279,16.233
,,ESPECIALIZACION,,9,49,250,274,389
,,MAESTRIA,32,53,113,50,42,69
,,DOCTORADO,,,,3,6,8
,Total REGION CENTRO SUR Y AMAZONIA,,9.743,10.422,14.011,14.238,13.947,16.860
