,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION EJE CAFETERO Y ANTIOQUIA 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,,,,,,
,,,PREGRADO,POSGRADO,,,,
,,ANTIOQUIA,"94,5%","5,5%",,,,
,,CALDAS,"89,6%","10,4%",,,,
,,QUINDIO,"96,3%","3,7%",,,,
,,RISARALDA,"93,2%","6,8%",,,,
,,REGION EJE CAFETERO Y ANTIOQUIA,"94,0%","6,0%",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,ANTIOQUIA,TECNICA PROFESIONAL,7.400,3.327,2.622,4.269,3.910,4.355
,,TECNOLOGICA,94.171,107.739,102.893,111.224,110.533,110.782
,,UNIVERSITARIA,132.554,143.741,155.416,164.092,175.701,182.990
,,ESPECIALIZACION,7.821,9.065,8.550,9.051,8.874,9.497
,,MAESTRIA,3.322,4.176,4.185,4.862,5.520,6.472
,,DOCTORADO,611,696,787,967,1.147,1.315
,Total ANTIOQUIA,,245.879,268.744,274.453,294.465,305.685,315.411
,CALDAS,TECNICA PROFESIONAL,809,259,532,918,1.630,2.298
,,TECNOLOGICA,9.351,9.841,10.500,12.265,12.089,10.999
,,UNIVERSITARIA,22.650,24.045,24.870,25.395,27.020,28.430
,,ESPECIALIZACION,1.241,1.154,1.080,1.055,1.276,1.575
,,MAESTRIA,1.480,2.050,2.117,2.601,2.761,2.915
,,DOCTORADO,158,177,124,154,266,374
,Total CALDAS,,35.689,37.526,39.223,42.388,45.042,46.591
,QUINDIO,TECNICA PROFESIONAL,2.628,1.171,1.471,1.242,1.330,1.455
,,TECNOLOGICA,6.849,6.389,7.516,7.592,8.524,9.157
,,UNIVERSITARIA,15.760,17.634,19.152,20.394,17.171,18.020
,,ESPECIALIZACION,191,408,387,386,529,799
,,MAESTRIA,22,129,120,105,246,273
,,DOCTORADO,5,4,,15,11,16
,Total QUINDIO,,25.455,25.735,28.646,29.734,27.811,29.720
,RISARALDA,TECNICA PROFESIONAL,1.444,844,911,1.325,1.508,1.792
,,TECNOLOGICA,11.887,10.637,10.407,11.723,13.267,12.966
,,UNIVERSITARIA,22.159,25.701,26.818,28.865,31.893,31.808
,,ESPECIALIZACION,870,1.242,1.294,1.482,1.588,1.970
,,MAESTRIA,870,960,954,1.012,1.112,1.378
,,DOCTORADO,53,46,22,43,61,67
,Total RISARALDA,,37.283,39.430,40.406,44.450,49.429,49.981
,REGION EJE CAFETERO Y ANTIOQUIA,TECNICA PROFESIONAL,12.281,5.601,5.536,7.754,8.378,9.900
,,TECNOLOGICA,122.258,134.606,131.316,142.804,144.413,143.904
,,UNIVERSITARIA,193.123,211.121,226.256,238.746,251.785,261.248
,,ESPECIALIZACION,10.123,11.869,11.311,11.974,12.267,13.841
,,MAESTRIA,5.694,7.315,7.376,8.580,9.639,11.038
,,DOCTORADO,827,923,933,1.179,1.485,1.772
,Total REGION EJE CAFETERO Y ANTIOQUIA,,344.306,371.435,382.728,411.037,427.967,441.703
