,MINISTERIO DE EDUCACION NACIONAL,,,,,,
,REGION CARIBE 2010 - 2015,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,
,,,,,,,
,,,,,,,
,,,PREGRADO,POSGRADO,,,
,,ATLANTICO,"80,4%","19,6%",,,
,,BOLIVAR,"86,3%","13,7%",,,
,,CESAR,"92,1%","7,9%",,,
,,CORDOBA,"85,9%","14,1%",,,
,,GUAJIRA,"92,4%","7,6%",,,
,,MAGDALENA,"88,0%","12,0%",,,
,,SAN ANDRES Y PROVIDENCIA,"88,4%","11,6%",,,
,,SUCRE,"90,0%","10,0%",,,
,,REGION CARIBE,"85,4%","14,6%",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GRADUADOS,,,,,,
,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014
,ATLANTICO,FORMACION TECNICA PROFESIONAL,483,422,1.654,823,576
,,TECNOLOGICA,746,2.808,2.615,2.605,3.099
,,UNIVERSITARIA,7.358,7.722,8.104,8.644,7.888
,,ESPECIALIZACION,2.041,2.324,2.853,2.536,2.256
,,MAESTRIA,222,336,611,505,554
,,DOCTORADO,,2,7,11,4
,Total ATLANTICO,,10.850,13.614,15.844,15.124,14.377
,BOLIVAR,FORMACION TECNICA PROFESIONAL,344,389,270,556,282
,,TECNOLOGICA,935,2.572,3.513,3.585,3.346
,,UNIVERSITARIA,3.325,3.378,4.586,4.952,4.228
,,ESPECIALIZACION,636,1.003,1.339,1.364,1.168
,,MAESTRIA,22,20,55,114,69
,,DOCTORADO,2,1,3,1,5
,Total BOLIVAR,,5.264,7.363,9.766,10.572,9.098
,CESAR,FORMACION TECNICA PROFESIONAL,54,23,40,39,27
,,TECNOLOGICA,44,836,928,1.025,1.265
,,UNIVERSITARIA,1.836,2.368,2.140,2.012,1.841
,,ESPECIALIZACION,200,111,401,282,260
,,MAESTRIA,1,,8,9,9
,,DOCTORADO,1,,2,,
,Total CESAR,,2.136,3.338,3.519,3.367,3.402
,CORDOBA,FORMACION TECNICA PROFESIONAL,121,171,160,233,183
,,TECNOLOGICA,94,538,545,766,937
,,UNIVERSITARIA,1.980,1.859,2.487,3.507,3.182
,,ESPECIALIZACION,106,72,169,455,638
,,MAESTRIA,11,6,8,51,66
,Total CORDOBA,,2.312,2.646,3.369,5.012,5.006
,GUAJIRA,FORMACION TECNICA PROFESIONAL,106,156,241,133,126
,,TECNOLOGICA,7,327,825,634,523
,,UNIVERSITARIA,1.167,812,837,823,840
,,ESPECIALIZACION,23,56,38,50,112
,,MAESTRIA,,,,,11
,Total GUAJIRA,,1.303,1.351,1.941,1.640,1.612
,MAGDALENA,FORMACION TECNICA PROFESIONAL,287,318,398,449,507
,,TECNOLOGICA,110,1.067,1.362,1.429,1.511
,,UNIVERSITARIA,2.026,2.332,3.154,3.281,3.169
,,ESPECIALIZACION,541,533,614,771,667
,,MAESTRIA,11,20,25,48,43
,Total MAGDALENA,,2.975,4.270,5.553,5.978,5.897
,SAN ANDRES Y PROVIDENCIA,FORMACION TECNICA PROFESIONAL,23,11,10,18,
,,TECNOLOGICA,,124,181,107,155
,,UNIVERSITARIA,,,18,,13
,,ESPECIALIZACION,,2,,2,19
,,MAESTRIA,,12,1,4,3
,Total SAN ANDRES Y PROVIDENCIA,,23,149,210,131,190
,SUCRE,FORMACION TECNICA PROFESIONAL,767,132,889,141,475
,,TECNOLOGICA,122,461,515,528,454
,,UNIVERSITARIA,1.589,1.422,1.457,1.833,1.326
,,ESPECIALIZACION,544,557,543,644,250
,,MAESTRIA,1,,,,
,Total SUCRE,,3.023,2.572,3.404,3.146,2.505
,REGION CARIBE,FORMACION TECNICA PROFESIONAL,2.185,1.622,3.662,2.392,2.176
,,TECNOLOGICA,2.058,8.733,10.484,10.679,11.290
,,UNIVERSITARIA,19.281,19.893,22.783,25.052,22.487
,,ESPECIALIZACION,4.091,4.658,5.957,6.104,5.370
,,MAESTRIA,268,394,708,731,755
,,DOCTORADO,3,3,12,12,9
,Total REGION CARIBE,,27.886,35.303,43.606,44.970,42.087
