,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION LLANOS 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,OFICIAL,PRIVADA,,,,
,,ARAUCA,"36,3%","63,7%",,,,
,,CASANARE,"34,3%","65,7%",,,,
,,GUAINIA,"92,7%","7,3%",,,,
,,GUAVIARE,"96,2%","3,8%",,,,
,,META,"41,1%","58,9%",,,,
,,VAUPES,"99,6%","0,4%",,,,
,,VICHADA,"95,2%","4,8%",,,,
,,REGION LLANOS,"43,6%","56,4%",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA POR SECTOR,,,,,,,
,,,,,,,,
,DEPARTAMENTO,SECTOR,2010,2011*,2012*,2013*,2014,2015
,ARAUCA,OFICIAL,2.068,1.474,1.750,1.163,959,1.043
,,PRIVADA,1.000,2.179,2.259,2.316,2.042,1.827
,Total ARAUCA,,3.068,3.653,4.009,3.479,3.001,2.870
,CASANARE,OFICIAL,5.234,5.321,5.352,3.814,3.583,3.345
,,PRIVADA,2.895,3.955,4.677,5.026,5.891,6.402
,Total CASANARE,,8.129,9.276,10.029,8.840,9.474,9.747
,GUAINIA,OFICIAL,519,529,537,437,447,521
,,PRIVADA,2,32,5,6,55,41
,Total GUAINIA,,521,561,542,443,502,562
,GUAVIARE,OFICIAL,1.464,1.367,1.732,1.981,1.771,2.106
,,PRIVADA,,,27,60,53,83
,Total GUAVIARE,,1.464,1.367,1.759,2.041,1.824,2.189
,META,OFICIAL,12.323,13.872,13.210,13.266,12.285,13.215
,,PRIVADA,8.920,11.610,13.827,16.840,17.977,18.973
,Total META,,21.243,25.482,27.037,30.106,30.262,32.188
,VAUPES,OFICIAL,194,230,293,359,143,227
,,PRIVADA,,,,,,1
,Total VAUPES,,194,230,293,359,143,228
,VICHADA,OFICIAL,673,569,815,711,588,699
,,PRIVADA,40,56,51,56,50,35
,Total VICHADA,,713,625,866,767,638,734
,REGION LLANOS,OFICIAL,22.475,23.362,23.689,21.731,19.776,21.156
,,PRIVADA,12.857,17.832,20.846,24.304,26.068,27.362
,Total REGION LLANOS,,35.332,41.194,44.535,46.035,45.844,48.518
