,MINISTERIO DE EDUCACION NACIONAL,,,,,,
,REGION CENTRO ORIENTE 2010 - 2015,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,REGIONES,2010,2011*,2012*,2013*,2014,2015
,BOGOTA D.C.,"73,6%","81,5%","85,6%","92,1%","98,0%","101,3%"
,BOYACA,"39,6%","42,3%","46,2%","48,7%","50,8%","52,0%"
,CUNDINAMARCA,"21,1%","20,4%","22,6%","26,1%","29,0%","30,3%"
,NORTE DE SANTANDER,"42,7%","46,3%","41,9%","45,6%","47,7%","49,8%"
,SANTANDER,"47,9%","53,8%","54,1%","58,9%","60,9%","63,2%"
,REGIÓN,"54,4%","59,6%","62,0%","67,2%","71,3%","73,9%"
,NACIONAL,"37,1%","40,4%","41,7%","45,2%","47,8%","49,4%"
