,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION LLANOS  2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,MATRICULA TOTAL,MATRICULA ACREDITADA,PORCENTAJE,,,
,,ARAUCA,2.870,17,"0,6%",,,
,,CASANARE,9.747,1.406,"14,4%",,,
,,GUAINIA,562,113,"20,1%",,,
,,GUAVIARE,2.189,95,"4,3%",,,
,,META,32.188,5.659,"17,6%",,,
,,VAUPES,228,0,"0,0%",,,
,,VICHADA,734,41,"5,6%",,,
,,REGION LLANOS,48.518,7.331,"15,1%",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA ACREDITADA (IES Y PROGRAMAS) POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,ARAUCA,TECNOLOGICA,,,,,2,1
,,UNIVERSITARIA,,,,,19,16
,,ESPECIALIZACION,,,,,10,
,Total ARAUCA,,,,,,31,17
,CASANARE,TECNICA PROFESIONAL,,,,,,11
,,TECNOLOGICA,167,111,82,47,42,65
,,UNIVERSITARIA,327,227,873,1.092,1.186,1.230
,,ESPECIALIZACION,,,,7,17,51
,,MAESTRIA,,,,17,26,49
,Total CASANARE,,494,338,955,1.163,1.271,1.406
,GUAINIA,TECNOLOGICA,1,,,,,
,,UNIVERSITARIA,30,19,121,132,127,113
,Total GUAINIA,,31,19,121,132,127,113
,GUAVIARE,UNIVERSITARIA,,,97,80,89,95
,Total GUAVIARE,,,,97,80,89,95
,META,TECNICA PROFESIONAL,,,,199,397,
,,TECNOLOGICA,32,27,17,32,125,4
,,UNIVERSITARIA,1.753,1.745,2.485,3.705,4.823,5.387
,,ESPECIALIZACION,,,48,114,111,180
,,MAESTRIA,,,,37,82,88
,Total META,,1.785,1.772,2.550,4.087,5.538,5.659
,VICHADA,UNIVERSITARIA,,,48,50,44,41
,Total VICHADA,,,,48,50,44,41
,REGION LLANOS,TECNICA PROFESIONAL,,,,199,397,11
,,TECNOLOGICA,200,138,99,79,169,70
,,UNIVERSITARIA,2.110,1.991,3.624,5.059,6.288,6.882
,,ESPECIALIZACION,,,48,121,138,231
,,MAESTRIA,,,,54,108,137
,Total REGION LLANOS,,2.310,2.129,3.771,5.512,7.100,7.331
