"","departamento","anio","proy","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","acr_tecp","acr_tecn","acr_univ","acr_espe","acr_maes","acr_doct","cobertura","gra_tecp","gra_tecn","gra_univ","gra_espe","gra_maes","gra_doct","oficial","privada"
"120","RISARALDA",2014,946632,"  917","  288","  263","  282","   79","    5","   58","    0","    0","    8","   50"," 1311","  407","  904","  299","  117","   37","   74","   71"," 1196","  891","  305"," 1354","  575","  246","  533","  780","  332","    0","   70","   80","  298"," 1994","  419","  622","  953"," 2061","  677","  134","  414","  381","  308","   56","   91"," 9970","  881","10851",581,2.581,18.309,441,909,61,0.563,237,1.744,3.809,788,246,10,30.882,18.547
"121","SAN ANDRES Y PROVIDENCIA",2010,73320," 12","  0","  0","  2","  1","  9","  0","  0","  0","  0","  0"," 13","  6","  7"," 38"," 33","  0","  3","  2"," 19","  1"," 18","317","123","  7","187"," 91","  7","  0"," 62","  8"," 14"," 76"," 21"," 10"," 45","187","107","  5"," 23"," 16"," 24","  8","  4","753"," 46","799",0,0,0,0,7,0,0.257,23,0,0,0,0,0,1.713,39
"122","SAN ANDRES Y PROVIDENCIA",2011,73925," 12","  0","  0","  2","  1","  9","  0","  0","  0","  0","  0"," 14","  7","  7"," 40"," 35","  0","  3","  2"," 20","  1"," 19","342","131","  7","204"," 97","  6","  0"," 67","  9"," 15"," 83"," 23"," 10"," 50","210","119","  5"," 26"," 17"," 30","  9","  4","818"," 55","873",0,0,16,0,14,3,0.155,11,124,0,2,12,0,1.071,0
"123","SAN ANDRES Y PROVIDENCIA",2012,74541," 12","  0","  0","  2","  1","  9","  0","  0","  0","  0","  0"," 12","  6","  6"," 42"," 38","  0","  3","  1"," 24","  1"," 23","373","135","  8","230","104","  6","  0"," 74","  8"," 16"," 91"," 26"," 11"," 54","225","127","  5"," 29"," 20"," 31","  9","  4","883"," 59","942",0,0,40,26,12,1,0.174,10,181,18,0,1,0,1.192,55
"124","SAN ANDRES Y PROVIDENCIA",2013,75167,"  13","   0","   0","   3","   1","   9","   0","   0","   0","   0","   0","  15","   7","   8","  44","  40","   0","   3","   1","  27","   2","  25"," 407"," 146","   9"," 252"," 122","   7","   0","  89","   9","  17","  99","  29","  11","  59"," 246"," 146","   5","  29","  22","  30","  10","   4"," 973","  69","1042",0,2,65,0,23,4,0.188,18,107,0,2,4,0,1.277,24
"125","SAN ANDRES Y PROVIDENCIA",2014,75801,"  14","   0","   0","   3","   1","  10","   0","   0","   0","   0","   0","  15","   7","   8","  46","  42","   0","   3","   1","  27","   2","  25"," 433"," 154","   9"," 270"," 135","   8","   0","  98","  11","  18"," 113","  33","  12","  68"," 265"," 162","   6","  30","  25","  28","  10","   4","1048","  85","1133",31,1,47,0,13,7,0.276,0,155,13,19,3,0,1.908,18
"126","SANTANDER",2010,2010393," 2401","  184"," 1273","  869","   42","   33"," 2068","   15"," 1867","    2","  184","10563","  823"," 9740","  733","  413","   75","  127","  118"," 4300"," 1403"," 2897"," 3269"," 2187","  351","  731"," 1937","  941","   45","   49","  161","  741"," 4641","  809"," 2297"," 1535"," 3620"," 1297","  396","  706","  557","  314","   91","  259","33532"," 6451","39983",0,2.154,30.397,1.541,485,78,0.479,1.502,2.025,6.081,2.214,192,9,55.058,39.762
"127","SANTANDER",2011,2020604," 2688","  234"," 1504","  872","   45","   33"," 3129","   28"," 2880","    3","  218","12540","  822","11718","  772","  438","   83","  131","  120"," 5298"," 1690"," 3608"," 3544"," 2377","  372","  795"," 2072"," 1007","   47","   52","  183","  783"," 5047","  883"," 2467"," 1697"," 3945"," 1414","  437","  777","  594","  344","   95","  284","39035"," 7435","46470",50,1.958,32.614,1.308,553,66,0.538,488,5.329,6.803,5.4,260,11,61.495,56.299
"128","SANTANDER",2012,2030775," 2568","  172"," 1403","  910","   48","   35"," 3339","   14"," 3069","    2","  254","13061","  897","12164","  835","  489","   87","  137","  122"," 6471"," 2080"," 4391"," 3727"," 2413","  424","  890"," 2188"," 1076","   35","   52","  196","  829"," 5386","  998"," 2650"," 1738"," 4152"," 1383","  487","  853","  675","  353","   99","  302","41727"," 7673","49400",187,2.439,37.729,2.388,1.382,65,0.541,1.014,6.111,7.602,10.228,415,10,62.125,61.374
"129","SANTANDER",2013,2040932," 2524","  215"," 1347","  876","   51","   35"," 3410","   18"," 3094","    2","  296","12998","  965","12033","  992","  621","   88","  153","  130"," 7652"," 2370"," 5282"," 4040"," 2600","  457","  983"," 2841"," 1640","   40","   59","  211","  891"," 5738"," 1079"," 2806"," 1853"," 4733"," 1743","  531","  923","  742","  368","  107","  319","44928"," 7886","52814",384,2.808,30.564,1.614,1.163,88,0.589,546,6.036,7.973,7.178,423,3,68.337,60.441
