departamento,anio,acr_tecp,acr_tecn,acr_univ,acr_espe,acr_maes,acr_doct
META,2014,397,125,4.823,111,82,
META,2015,0,4,5.387,180,88,
VICHADA,2010,,,0,,,
VICHADA,2011,,,0,,,
VICHADA,2012,,,48,,,
VICHADA,2013,,,50,,,
VICHADA,2014,,,44,,,
VICHADA,2015,,,41,,,
CAUCA,2010,,0,3.316,0,0,0
CAUCA,2011,,42,4.414,0,0,0
CAUCA,2012,,64,5.85,0,0,0
CAUCA,2013,,262,14.786,309,253,79
CAUCA,2014,,299,15.29,436,380,88
CAUCA,2015,,281,16.167,371,535,97
CHOCO,2010,0,,0,13,,
CHOCO,2011,0,,0,9,,
CHOCO,2012,0,,169,11,,
CHOCO,2013,134,,210,16,,
CHOCO,2014,150,,274,47,,
CHOCO,2015,0,,231,127,,
NARIÑO,2010,0,0,3.26,56,20,
NARIÑO,2011,0,0,4.526,14,0,
NARIÑO,2012,0,0,5.654,66,0,
NARIÑO,2013,103,131,4.673,49,73,
NARIÑO,2014,121,156,5.156,248,188,
NARIÑO,2015,0,185,6.417,250,155,
VALLE DEL CAUCA,2010,0,3.785,44.586,1.796,2.564,281
VALLE DEL CAUCA,2011,0,3.786,46.385,1.744,3.05,348
VALLE DEL CAUCA,2012,1.454,4.373,53.111,2.127,3.219,359
VALLE DEL CAUCA,2013,1.452,3.958,53.923,1.985,3.315,419
VALLE DEL CAUCA,2014,1.61,4.546,54.855,2.197,3.266,444
VALLE DEL CAUCA,2015,1.33,4.835,51.705,2.307,3.634,491
